,排名,排名变化,高校名称,高校类型,高校条件,所在地,综合分数,办学层次,学科水平,办学资源,师资规模与结构,人才培养,科学研究,服务社会,学术人才,重大项目与成果,国际竞争力
196,196,4.0,沈阳师范大学,师范,[],辽宁,165.5,,,,,,,,,,
197,198,0.0,延边大学,综合,"['一流学科', '211']",吉林,165.4,,,,,,,,,,
198,199,39.0,内蒙古农业大学,农业,[],内蒙古,165.3,,,,,,,,,,
199,200,-22.0,河南科技大学,综合,[],河南,164.9,,,,,,,,,,
200,201,7.0,南华大学,综合,[],湖南,164.1,,,,,,,,,,
201,202,-9.0,哈尔滨师范大学,师范,[],黑龙江,164.0,,,,,,,,,,
202,203,-35.0,石家庄铁道大学,理工,[],河北,163.5,,,,,,,,,,
203,204,-22.0,北京信息科技大学,理工,[],北京,163.4,,,,,,,,,,
204,205,-19.0,沈阳建筑大学,理工,[],辽宁,162.5,,,,,,,,,,
205,206,39.0,青岛农业大学,农业,[],山东,162.4,,,,,,,,,,
206,207,-9.0,上海工程技术大学,理工,[],上海,161.7,,,,,,,,,,
207,208,-14.0,河南工业大学,理工,[],河南,161.4,,,,,,,,,,
208,209,44.0,江西理工大学,理工,[],江西,161.1,,,,,,,,,,
209,210,-8.0,中南林业科技大学,林业,[],湖南,160.8,,,,,,,,,,
210,211,16.0,北京农学院,农业,[],北京,160.7,,,,,,,,,,
211,212,-7.0,重庆师范大学,师范,[],重庆,160.6,,,,,,,,,,
212,213,7.0,江西农业大学,农业,[],江西,160.5,,,,,,,,,,
213,213,21.0,兰州交通大学,理工,[],甘肃,160.5,,,,,,,,,,
214,215,10.0,西藏大学,综合,"['一流学科', '211']",西藏,159.7,,,,,,,,,,
215,216,19.0,沈阳工业大学,理工,[],辽宁,159.6,,,,,,,,,,
216,217,-20.0,华东交通大学,理工,[],江西,159.4,,,,,,,,,,
217,218,-24.0,沈阳航空航天大学,理工,[],辽宁,159.2,,,,,,,,,,
218,219,13.0,西安邮电大学,理工,[],陕西,158.9,,,,,,,,,,
219,220,20.0,东华理工大学,理工,[],江西,158.7,,,,,,,,,,
220,221,-5.0,东北电力大学,理工,[],吉林,158.6,,,,,,,,,,
221,222,-33.0,上海电力大学,理工,[],上海,157.9,,,,,,,,,,
222,223,9.0,鲁东大学,综合,[],山东,157.3,,,,,,,,,,
223,224,-66.0,国际关系学院,综合,[],北京,157.2,,,,,,,,,,
224,225,-12.0,大连大学,综合,[],辽宁,156.9,,,,,,,,,,
225,226,-40.0,苏州科技大学,理工,[],江苏,156.4,,,,,,,,,,
226,227,-27.0,河北科技大学,理工,[],河北,155.9,,,,,,,,,,
227,228,-18.0,渤海大学,综合,[],辽宁,155.8,,,,,,,,,,
228,229,-18.0,华北理工大学,综合,[],河北,155.5,,,,,,,,,,
229,230,58.0,甘肃农业大学,农业,[],甘肃,155.4,,,,,,,,,,
230,231,30.0,北京印刷学院,理工,[],北京,154.1,,,,,,,,,,
231,232,-23.0,重庆理工大学,理工,[],重庆,153.3,,,,,,,,,,
